month_year,Revenue,Revenue (LY),Revenue (STLY),Revenue STLY YoY Difference,Occupancy,Occupancy (LY),Occupancy (STLY),Occupancy STLY YoY Difference %,Booked Occupancy,Booked Occupancy (LY),Booked Occupancy (STLY),Blocked Occupancy,Blocked Occupancy (LY),Blocked Occupancy (STLY),ADR,ADR (LY),ADR (STLY),ADR STLY YoY Difference
May 2024,,,,,,,,,,,,,,,,,,
Jun 2024,,,,,,,,,,,,,,,,,,
Jul 2024,,,,,,,,,,,,,,,,,,
Aug 2024,,,,,,,,,,,,,,,,,,
Sep 2024,,,,,,,,,,,,,,,,,,
Oct 2024,,,,,,,,,,,,,,,,,,
Nov 2024,,,,,,,,,,,,,,,,,,
Dec 2024,,,,,,,,,,,,,,,,,,
Jan 2025,,,,,,,,,,,,,,,,,,
Feb 2025,,,,,,,,,,,,,,,,,,
Mar 2025,,,,,,,,,,,,,,,,,,
Apr 2025,,,,,,,,,,,,,,,,,,
May 2025,,,,,,,,,,,,,,,,,,
Jun 2025,,,,,,,,,,,,,,,,,,
Jul 2025,,,,,,,,,,,,,,,,,,
Aug 2025,,,,,0,,,0,0,,,0,,,,,,
Sep 2025,,,,,0,,,0,0,,,0,,,,,,
Oct 2025,,,,,0,,,0,0,,,0,,,,,,
Nov 2025,588.0,,,588.0,7,,,7,7,,,0,,,294.0,,,294.0
Dec 2025,,,,,0,,,0,0,,,3,,,,,,
Jan 2026,,,,,0,,,0,0,,,0,,,,,,
Feb 2026,8651.0,,,8651.0,68,,,68,68,,,0,,,455.32,,,455.32
Mar 2026,8079.0,,,8079.0,74,,,74,74,,,0,,,351.26,,,351.26
Apr 2026,5914.0,,,5914.0,55,,,55,53,,,3,,,369.63,,,369.63
May 2026,3783.0,,,3783.0,32,,,32,32,,,0,,,378.3,,,378.3
Jun 2026,308.0,,,308.0,3,,,3,3,,,0,,,308.0,,,308.0
Jul 2026,,,,,0,,,0,0,,,0,,,,,,
Aug 2026,,,,,0,0,0,0,0,0,0,0,0,0,,,,
Sep 2026,,,,,0,0,0,0,0,0,0,0,0,0,,,,
Oct 2026,,,,,0,0,0,0,0,0,0,0,0,0,,,,
Nov 2026,,,,,0,7,0,0,0,7,0,0,0,0,,,,
Dec 2026,,,,,0,0,0,0,0,0,0,0,3,0,,,,
Jan 2027,,,,,0,0,0,0,0,0,0,0,0,0,,,,
Feb 2027,,,,,0,68,0,0,0,68,0,0,0,0,,,,
Mar 2027,,,,,0,74,0,0,0,74,0,0,0,0,,,,
Apr 2027,,,,,0,55,0,0,0,53,0,0,3,0,,,,
