#Note: Only listings refreshed in the last 48 hours are included in the CSV. This may cause row counts to vary across downloads.
"PMS Name","Listing ID","Listing Name","Tags","Date","Available","Recommended Price","Price with Default Customization","Your Price","Unbookable","Check In","Check Out","Status","Status Last Year","ADR","ADR Last Year","Booked Date","Booked Date Last Year"
"lodgify","650255___717243","Aloha Poconos.","","2026-05-03","False","380","263","367","","","","Booked (Check-In)","","308.0","","2026-04-04",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-04","True","280","224","308","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-05","False","281","232","308","","","","Booked (Check-In)","","308.0","","2026-04-29",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-06","True","280","240","308","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-07","False","352","311","387","","","","Booked (Check-In)","","411.0","","2026-04-23",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-08","True","486","439","539","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-09","True","460","424","526","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-10","False","373","349","408","","","","Booked (Check-In)","","377.0","","2026-04-28",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-11","True","280","287","331","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-12","False","308","295","397","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-13","True","356","345","393","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-14","True","359","351","392","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-15","False","542","535","539","","","","Booked (Check-In)","","431.0","","2026-04-24",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-16","False","599","595","593","","","","Booked","","431.0","","2026-04-24",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-17","False","465","465","513","","","","Booked (Check-In)","","378.0","","2026-04-19",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-18","True","330","330","308","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-19","True","280","222","308","","","","Booked (Check-In)","","","","2026-04-18",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-20","True","280","272","308","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-21","True","281","281","319","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-22","True","739","739","767","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-23","True","756","756","786","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-24","True","729","729","838","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-25","True","300","300","338","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-26","True","286","286","308","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-27","True","280","234","308","","","","","","","","",""
"lodgify","650255___717243","Aloha Poconos.","","2026-05-28","True","295","295","332","","","","","","","","",""
